"","mean.AUC","mean.R2","Sp"
"1",0.847858993,-0.382,"Anguilla.anguilla"
"2",0.9772029326,-0.228,"Lycodes.seminudus"
"3",0.904019601,-0.212,"Argentina.sphyraena"
"4",0.9299175372,-0.164,"Amblyraja.hyperborea"
"5",0.981802336,-0.136,"Macrourus.berglax"
"6",0.7450777474,-0.066,"Crystallogobius.linearis"
"7",0.9673337228,-0.062,"Lycodes.reticulatus"
"8",0.9270287188,-0.054,"Triglops.pingelii"
"9",0.917950549,-0.048,"Dicentrarchus.labrax"
"10",0.967257504,-0.04,"Eumicrotremus.spinosus"
"11",0.9396423324,-0.032,"Lycodes.eudipleurostictus"
"12",0.8787123952,-0.024,"Ammodytes.tobianus"
"13",0.8138906128,-0.012,"Microchirus.variegatus"
"14",0.973492551,-0.008,"Arctozenus.risso"
"15",0.8383172298,-0.008,"Lophius.budegassa"
"16",0.8253371706,-0.004,"Chelidonichthys.lucerna"
"17",0.8533934814,0,"Scophthalmus.rhombus"
"18",0.9833971832,0.002,"Liparis.fabricii"
"19",0.8672194302,0.002,"Solea.solea"
"20",0.8719152714,0.002,"Lesueurigobius.friesii"
"21",0.7501716514,0.004,"Engraulis.encrasicolus"
"22",0.75920398,0.004,"Zeus.faber"
"23",0.845328073,0.004,"Raja.clavata"
"24",0.7735690372,0.008,"Pholis.gunnellus"
"25",0.876382568,0.008,"Arnoglossus.laterna"
"26",0.8096968396,0.012,"Clupea.harengus"
"27",0.9482013702,0.016,"Cottunculus.microps"
"28",0.9028224408,0.016,"Buglossidium.luteum"
"29",0.8577456912,0.016,"Leucoraja.naevus"
"30",0.9272598222,0.018,"Anisarchus.medius"
"31",0.7190618968,0.018,"Scomber.scombrus"
"32",0.8209218602,0.02,"Ammodytes.marinus"
"33",0.9704300172,0.022,"Liparis.bathyarcticus"
"34",0.9562576908,0.022,"Lycodes.rossi"
"35",0.8448306168,0.022,"Myoxocephalus.scorpius"
"36",0.9606024236,0.022,"Lycodes.esmarkii"
"37",0.8734244778,0.026,"Hyperoplus.lanceolatus"
"38",0.9370364566,0.028,"Anarhichas.minor"
"39",0.945050816,0.03,"Anarhichas.denticulatus"
"40",0.9235375228,0.034,"Platichthys.flesus"
"41",0.7698107246,0.04,"Mullus.surmuletus"
"42",0.9424390072,0.04,"Pleuronectes.platessa"
"43",0.8735303064,0.042,"Trisopterus.luscus"
"44",0.9210075134,0.042,"Echiichthys.vipera"
"45",0.8010553926,0.044,"Agonus.cataphractus"
"46",0.8042610486,0.046,"Callionymus.lyra"
"47",0.8850636456,0.052,"Trachinus.draco"
"48",0.8229930732,0.054,"Trisopterus.minutus"
"49",0.8569170048,0.072,"Chelidonichthys.cuculus"
"50",0.851212328,0.074,"Raja.brachyura"
"51",0.790757367,0.076,"Scyliorhinus.canicula"
"52",0.7162443646,0.088,"Trachurus.trachurus"
"53",0.8147389968,0.092,"Scophthalmus.maximus"
"54",0.8859764496,0.092,"Triglops.murrayi"
"55",0.8402795994,0.092,"Pollachius.pollachius"
"56",0.9587851612,0.098,"Artediellus.atlanticus"
"57",0.7181653102,0.102,"Entelurus.aequoreus"
"58",0.891049161,0.102,"Helicolenus.dactylopterus"
"59",0.9328730018,0.102,"Rajella.fyllae"
"60",0.6420738438,0.112,"Cyclopterus.lumpus"
"61",0.9485399526,0.114,"Merlangius.merlangus"
"62",0.935851871,0.114,"Chimaera.monstrosa"
"63",0.770252599,0.116,"Raja.montagui"
"64",0.952744477,0.126,"Capros.aper"
"65",0.9731650616,0.126,"Lycodes.pallidus"
"66",0.8572471556,0.128,"Microstomus.kitt"
"67",0.858649621,0.13,"Aphia.minuta"
"68",0.7447078214,0.132,"Squalus.acanthias"
"69",0.9089804172,0.138,"Sprattus.sprattus"
"70",0.9738829284,0.142,"Mallotus.villosus"
"71",0.8398000194,0.146,"Eutrigla.gurnardus"
"72",0.8376106416,0.146,"Anarhichas.lupus"
"73",0.8386593614,0.15,"Merluccius.merluccius"
"74",0.9423418552,0.154,"Galeus.melastomus"
"75",0.8429323596,0.158,"Hyperoplus.immaculatus"
"76",0.9809139792,0.164,"Leptagonus.decagonus"
"77",0.900342957,0.174,"Sebastes.viviparus"
"78",0.6920318956,0.184,"Enchelyopus.cimbrius"
"79",0.8683448412,0.196,"Melanogrammus.aeglefinus"
"80",0.973335847,0.206,"Leptoclinus.maculatus"
"81",0.9641018674,0.218,"Etmopterus.spinax"
"82",0.9361837656,0.228,"Argentina.silus"
"83",0.916794921,0.24,"Lycodes.vahlii"
"84",0.8983938534,0.242,"Brosme.brosme"
"85",0.8856789046,0.242,"Molva.molva"
"86",0.9858723324,0.248,"Triglops.nybelini"
"87",0.779217251,0.252,"Maurolicus.muelleri"
"88",0.9795877562,0.252,"Reinhardtius.hippoglossoides"
"89",0.8402599822,0.264,"Lophius.piscatorius"
"90",0.915882325,0.27,"Lycodes.gracilis"
"91",0.7385347106,0.296,"Hippoglossus.hippoglossus"
"92",0.9484954694,0.298,"Gadiculus.argenteus"
"93",0.9396063956,0.304,"Lepidorhombus.whiffiagonis"
"94",0.9131774342,0.314,"Pollachius.virens"
"95",0.9852699254,0.316,"Boreogadus.saida"
"96",0.834296719,0.33,"Myxine.glutinosa"
"97",0.9493310722,0.372,"Phycis.blennoides"
"98",0.9117360836,0.378,"Trisopterus.esmarkii"
"99",0.7135369238,0.386,"Gadus.morhua"
"100",0.792287736,0.396,"Glyptocephalus.cynoglossus"
"101",0.9770003676,0.404,"Limanda.limanda"
"102",0.9395478346,0.438,"Micromesistius.poutassou"
"103",0.8205484232,0.444,"Hippoglossoides.platessoides"
"104",0.7854499438,0.446,"Lumpenus.lampretaeformis"
"105",0.9788577498,0.47,"Sebastes.mentella"
"106",0.69369626,0.48,"Amblyraja.radiata"
"107",0.911439847,0.532,"Sebastes.norvegicus"
